BTC/USDT,BTC/USD
ETH/USDT,ETH/USD
LTC/USDT,LTC/USD
NEO/USDT,NEO/USD
BNB/USDT,BNB/USD
XRP/USDT,XRP/USD
LINK/USDT,LINK/USD
EOS/USDT,EOS/USD
TRX/USDT,TRX/USD
ETC/USDT,ETC/USD
XLM/USDT,XLM/USD
ZEC/USDT,ZEC/USD
ADA/USDT,ADA/USD
QTUM/USDT,QTUM/USD
DASH/USDT,DASH/USD
XMR/USDT,XMR/USD
BAT/USDT,BAT/USD
BTT/USDT,BTT/USD
ZEC/USDT,ZEC/USD
MATIC/USDT,MATIC/USD
CELR/USDT,CELR/USD
ONE/USDT,ONE/USD
DOT/USDT,DOT/USD
UNI/USDT,UNI/USD
ICP/USDT,ICP/USD
SOL/USDT,SOL/USD
VET/USDT,VET/USD
FIL/USDT,FIL/USD
AAVE/USDT,AAVE/USD
MKR/USDT,MKR/USD
ICX/USDT,ICX/USD
CVC/USDT,CVC/USD
SC/USDT,SC/USD
LRC/USDT,LRC/USD
